
[TRAIN] Epoch 0: Loss: 0.7718, Acc: 49.85, F1: 11.16, Dice: 5.91, Pre: 0.49, Re: 0.06, TP: 127, TN: 1882, FP: 133, FN: 1888
[VALID] Epoch 0: Loss: 0.9483, Acc: 50.00, F1: nan, Dice: 0.00, Pre: nan, Re: 0.00, TP: 0, TN: 620, FP: 0, FN: 620
[TRAIN] Epoch 1: Loss: 0.7560, Acc: 51.17, F1: 12.53, Dice: 6.69, Pre: 0.60, Re: 0.07, TP: 141, TN: 1921, FP: 94, FN: 1874
[VALID] Epoch 1: Loss: 0.9483, Acc: 50.00, F1: nan, Dice: 0.00, Pre: nan, Re: 0.00, TP: 0, TN: 620, FP: 0, FN: 620
[TRAIN] Epoch 2: Loss: 0.7371, Acc: 52.75, F1: 18.28, Dice: 10.06, Pre: 0.68, Re: 0.11, TP: 213, TN: 1913, FP: 102, FN: 1802
[VALID] Epoch 2: Loss: 0.9483, Acc: 50.00, F1: nan, Dice: 0.00, Pre: nan, Re: 0.00, TP: 0, TN: 620, FP: 0, FN: 620
[TRAIN] Epoch 3: Loss: 0.7077, Acc: 58.88, F1: 35.85, Dice: 21.84, Pre: 0.82, Re: 0.23, TP: 463, TN: 1910, FP: 105, FN: 1552
[VALID] Epoch 3: Loss: 0.9005, Acc: 63.63, F1: 44.39, Dice: 28.53, Pre: 0.94, Re: 0.29, TP: 180, TN: 609, FP: 11, FN: 440
[TRAIN] Epoch 4: Loss: 0.6638, Acc: 71.81, F1: 65.60, Dice: 48.81, Pre: 0.84, Re: 0.54, TP: 1083, TN: 1811, FP: 204, FN: 932
[VALID] Epoch 4: Loss: 0.8453, Acc: 79.84, F1: 77.48, Dice: 63.24, Pre: 0.88, Re: 0.69, TP: 430, TN: 560, FP: 60, FN: 190
[TRAIN] Epoch 5: Loss: 0.6201, Acc: 79.90, F1: 78.02, Dice: 63.97, Pre: 0.86, Re: 0.71, TP: 1438, TN: 1782, FP: 233, FN: 577
[VALID] Epoch 5: Loss: 0.8189, Acc: 87.90, F1: 88.13, Dice: 78.78, Pre: 0.86, Re: 0.90, TP: 557, TN: 533, FP: 87, FN: 63
[TRAIN] Epoch 6: Loss: 0.5841, Acc: 82.28, F1: 81.62, Dice: 68.94, Pre: 0.85, Re: 0.79, TP: 1585, TN: 1731, FP: 284, FN: 430
[VALID] Epoch 6: Loss: 0.8292, Acc: 84.68, F1: 84.43, Dice: 73.05, Pre: 0.86, Re: 0.83, TP: 515, TN: 535, FP: 85, FN: 105
[TRAIN] Epoch 7: Loss: 0.5527, Acc: 82.95, F1: 82.78, Dice: 70.62, Pre: 0.84, Re: 0.82, TP: 1651, TN: 1692, FP: 323, FN: 364
[VALID] Epoch 7: Loss: 0.8128, Acc: 89.84, F1: 90.38, Dice: 82.45, Pre: 0.86, Re: 0.95, TP: 592, TN: 522, FP: 98, FN: 28
[TRAIN] Epoch 8: Loss: 0.5041, Acc: 85.63, F1: 85.94, Dice: 75.35, Pre: 0.84, Re: 0.88, TP: 1770, TN: 1681, FP: 334, FN: 245
[VALID] Epoch 8: Loss: 0.8109, Acc: 90.48, F1: 91.13, Dice: 83.70, Pre: 0.85, Re: 0.98, TP: 606, TN: 516, FP: 104, FN: 14
