
[VALID] Epoch 17: Loss: 0.0644, Acc: 82.02, F1: 81.12, Dice: 68.23, Pre: 0.85, Re: 0.77, TP: 479, TN: 538, FP: 82, FN: 141
[TRAIN] Epoch 18: Loss: 0.6329, Acc: 72.13, F1: 65.29, Dice: 48.46, Pre: 0.87, Re: 0.52, TP: 1056, TN: 1851, FP: 164, FN: 959
[VALID] Epoch 18: Loss: 0.0649, Acc: 83.63, F1: 82.72, Dice: 70.54, Pre: 0.88, Re: 0.78, TP: 486, TN: 551, FP: 69, FN: 134
[TRAIN] Epoch 19: Loss: 0.6173, Acc: 74.52, F1: 69.43, Dice: 53.17, Pre: 0.87, Re: 0.58, TP: 1166, TN: 1837, FP: 178, FN: 849
[VALID] Epoch 19: Loss: 0.0644, Acc: 79.35, F1: 76.56, Dice: 62.02, Pre: 0.89, Re: 0.67, TP: 418, TN: 566, FP: 54, FN: 202
[TRAIN] Epoch 20: Loss: 0.5982, Acc: 76.55, F1: 72.98, Dice: 57.45, Pre: 0.86, Re: 0.63, TP: 1276, TN: 1809, FP: 206, FN: 739
[VALID] Epoch 20: Loss: 0.0644, Acc: 84.52, F1: 83.76, Dice: 72.05, Pre: 0.88, Re: 0.80, TP: 495, TN: 553, FP: 67, FN: 125
[TRAIN] Epoch 21: Loss: 0.5767, Acc: 78.41, F1: 75.71, Dice: 60.92, Pre: 0.87, Re: 0.67, TP: 1356, TN: 1804, FP: 211, FN: 659
[VALID] Epoch 21: Loss: 0.0644, Acc: 85.08, F1: 84.72, Dice: 73.50, Pre: 0.87, Re: 0.83, TP: 513, TN: 542, FP: 78, FN: 107
[TRAIN] Epoch 22: Loss: 0.5608, Acc: 79.40, F1: 77.43, Dice: 63.18, Pre: 0.86, Re: 0.71, TP: 1424, TN: 1776, FP: 239, FN: 591
[VALID] Epoch 22: Loss: 0.0644, Acc: 85.89, F1: 85.57, Dice: 74.78, Pre: 0.88, Re: 0.84, TP: 519, TN: 546, FP: 74, FN: 101
[TRAIN] Epoch 23: Loss: 0.5389, Acc: 80.47, F1: 79.12, Dice: 65.45, Pre: 0.85, Re: 0.74, TP: 1491, TN: 1752, FP: 263, FN: 524
[VALID] Epoch 23: Loss: 0.0649, Acc: 87.34, F1: 87.39, Dice: 77.60, Pre: 0.87, Re: 0.88, TP: 544, TN: 539, FP: 81, FN: 76
[TRAIN] Epoch 24: Loss: 0.5122, Acc: 83.30, F1: 82.32, Dice: 69.96, Pre: 0.87, Re: 0.78, TP: 1567, TN: 1790, FP: 225, FN: 448
[VALID] Epoch 24: Loss: 0.0649, Acc: 88.15, F1: 88.40, Dice: 79.21, Pre: 0.87, Re: 0.90, TP: 560, TN: 533, FP: 87, FN: 60
[TRAIN] Epoch 25: Loss: 0.4997, Acc: 83.87, F1: 83.18, Dice: 71.20, Pre: 0.87, Re: 0.80, TP: 1607, TN: 1773, FP: 242, FN: 408
[VALID] Epoch 25: Loss: 0.0649, Acc: 89.03, F1: 89.63, Dice: 81.22, Pre: 0.85, Re: 0.95, TP: 588, TN: 516, FP: 104, FN: 32
[TRAIN] Epoch 26: Loss: 0.4969, Acc: 83.28, F1: 82.61, Dice: 70.37, Pre: 0.86, Re: 0.79, TP: 1601, TN: 1755, FP: 260, FN: 414
[VALID] Epoch 26: Loss: 0.0649, Acc: 89.52, F1: 89.75, Dice: 81.40, Pre: 0.88, Re: 0.92, TP: 569, TN: 541, FP: 79, FN: 51
[TRAIN] Epoch 27: Loss: 0.4711, Acc: 85.14, F1: 84.65, Dice: 73.39, Pre: 0.88, Re: 0.82, TP: 1652, TN: 1779, FP: 236, FN: 363
[VALID] Epoch 27: Loss: 0.0649, Acc: 89.19, F1: 89.79, Dice: 81.47, Pre: 0.85, Re: 0.95, TP: 589, TN: 517, FP: 103, FN: 31
[TRAIN] Epoch 28: Loss: 0.4560, Acc: 85.31, F1: 85.06, Dice: 74.00, Pre: 0.87, Re: 0.84, TP: 1685, TN: 1753, FP: 262, FN: 330
[VALID] Epoch 28: Loss: 0.0649, Acc: 88.31, F1: 88.80, Dice: 79.86, Pre: 0.85, Re: 0.93, TP: 575, TN: 520, FP: 100, FN: 45
[TRAIN] Epoch 29: Loss: 0.4352, Acc: 86.60, F1: 86.55, Dice: 76.28, Pre: 0.87, Re: 0.86, TP: 1737, TN: 1753, FP: 262, FN: 278
[VALID] Epoch 29: Loss: 0.0649, Acc: 89.11, F1: 89.54, Dice: 81.07, Pre: 0.86, Re: 0.93, TP: 578, TN: 527, FP: 93, FN: 42
[TRAIN] Epoch 30: Loss: 0.4422, Acc: 85.33, F1: 85.24, Dice: 74.28, Pre: 0.86, Re: 0.85, TP: 1707, TN: 1732, FP: 283, FN: 308
[VALID] Epoch 30: Loss: 0.0649, Acc: 89.11, F1: 89.54, Dice: 81.07, Pre: 0.86, Re: 0.93, TP: 578, TN: 527, FP: 93, FN: 42
[TRAIN] Epoch 31: Loss: 0.4309, Acc: 85.46, F1: 85.31, Dice: 74.39, Pre: 0.86, Re: 0.84, TP: 1702, TN: 1742, FP: 273, FN: 313
