
[TRAIN] Epoch 0: Loss: 0.8152, Acc: 55.16, F1: 63.65, Dice: 46.68, Pre: 0.54, Re: 0.79, TP: 1582, TN: 641, FP: 1374, FN: 433
[VALID] Epoch 0: Loss: 0.8496, Acc: 77.42, F1: 78.49, Dice: 64.60, Pre: 0.75, Re: 0.82, TP: 511, TN: 449, FP: 171, FN: 109
[TRAIN] Epoch 1: Loss: 0.7605, Acc: 66.72, F1: 68.34, Dice: 51.90, Pre: 0.65, Re: 0.72, TP: 1447, TN: 1242, FP: 773, FN: 568
[VALID] Epoch 1: Loss: 0.8370, Acc: 81.94, F1: 81.91, Dice: 69.36, Pre: 0.82, Re: 0.82, TP: 507, TN: 509, FP: 111, FN: 113
[TRAIN] Epoch 2: Loss: 0.7267, Acc: 74.57, F1: 73.72, Dice: 58.38, Pre: 0.76, Re: 0.71, TP: 1438, TN: 1567, FP: 448, FN: 577
[VALID] Epoch 2: Loss: 0.8362, Acc: 82.42, F1: 81.62, Dice: 68.95, Pre: 0.86, Re: 0.78, TP: 484, TN: 538, FP: 82, FN: 136
[TRAIN] Epoch 3: Loss: 0.6947, Acc: 77.59, F1: 75.72, Dice: 60.93, Pre: 0.83, Re: 0.70, TP: 1408, TN: 1719, FP: 296, FN: 607
[VALID] Epoch 3: Loss: 0.8157, Acc: 88.71, F1: 89.44, Dice: 80.90, Pre: 0.84, Re: 0.96, TP: 593, TN: 507, FP: 113, FN: 27
[TRAIN] Epoch 4: Loss: 0.6708, Acc: 75.26, F1: 72.50, Dice: 56.86, Pre: 0.82, Re: 0.65, TP: 1314, TN: 1719, FP: 296, FN: 701
[VALID] Epoch 4: Loss: 0.8338, Acc: 83.23, F1: 82.64, Dice: 70.41, Pre: 0.86, Re: 0.80, TP: 495, TN: 537, FP: 83, FN: 125
[TRAIN] Epoch 5: Loss: 0.6237, Acc: 79.06, F1: 77.36, Dice: 63.08, Pre: 0.84, Re: 0.72, TP: 1442, TN: 1744, FP: 271, FN: 573
[VALID] Epoch 5: Loss: 0.8265, Acc: 85.48, F1: 85.46, Dice: 74.61, Pre: 0.86, Re: 0.85, TP: 529, TN: 531, FP: 89, FN: 91
[TRAIN] Epoch 6: Loss: 0.5873, Acc: 81.61, F1: 80.78, Dice: 67.75, Pre: 0.85, Re: 0.77, TP: 1557, TN: 1732, FP: 283, FN: 458
[VALID] Epoch 6: Loss: 0.8202, Acc: 87.50, F1: 87.79, Dice: 78.23, Pre: 0.86, Re: 0.90, TP: 557, TN: 528, FP: 92, FN: 63
[TRAIN] Epoch 7: Loss: 0.5446, Acc: 82.95, F1: 82.43, Dice: 70.10, Pre: 0.85, Re: 0.80, TP: 1611, TN: 1732, FP: 283, FN: 404
[VALID] Epoch 7: Loss: 0.8172, Acc: 88.39, F1: 88.84, Dice: 79.92, Pre: 0.86, Re: 0.92, TP: 573, TN: 523, FP: 97, FN: 47
[TRAIN] Epoch 8: Loss: 0.5146, Acc: 83.87, F1: 83.76, Dice: 72.06, Pre: 0.84, Re: 0.83, TP: 1676, TN: 1704, FP: 311, FN: 339
[VALID] Epoch 8: Loss: 0.8246, Acc: 86.61, F1: 85.98, Dice: 75.41, Pre: 0.90, Re: 0.82, TP: 509, TN: 565, FP: 55, FN: 111
[TRAIN] Epoch 9: Loss: 0.4757, Acc: 84.96, F1: 84.94, Dice: 73.82, Pre: 0.85, Re: 0.85, TP: 1709, TN: 1715, FP: 300, FN: 306
[VALID] Epoch 9: Loss: 0.8134, Acc: 89.60, F1: 90.16, Dice: 82.08, Pre: 0.86, Re: 0.95, TP: 591, TN: 520, FP: 100, FN: 29
[TRAIN] Epoch 10: Loss: 0.4462, Acc: 85.96, F1: 86.05, Dice: 75.52, Pre: 0.85, Re: 0.87, TP: 1746, TN: 1718, FP: 297, FN: 269
[VALID] Epoch 10: Loss: 0.8135, Acc: 89.76, F1: 90.16, Dice: 82.09, Pre: 0.87, Re: 0.94, TP: 582, TN: 531, FP: 89, FN: 38
[TRAIN] Epoch 11: Loss: 0.4231, Acc: 86.03, F1: 86.26, Dice: 75.84, Pre: 0.85, Re: 0.88, TP: 1767, TN: 1700, FP: 315, FN: 248
[VALID] Epoch 11: Loss: 0.8079, Acc: 91.45, F1: 92.10, Dice: 85.36, Pre: 0.86, Re: 1.00, TP: 618, TN: 516, FP: 104, FN: 2
[TRAIN] Epoch 12: Loss: 0.3985, Acc: 86.87, F1: 87.14, Dice: 77.22, Pre: 0.85, Re: 0.89, TP: 1793, TN: 1708, FP: 307, FN: 222
[VALID] Epoch 12: Loss: 0.8080, Acc: 91.45, F1: 92.09, Dice: 85.34, Pre: 0.86, Re: 1.00, TP: 617, TN: 517, FP: 103, FN: 3
[TRAIN] Epoch 13: Loss: 0.3779, Acc: 86.92, F1: 87.09, Dice: 77.14, Pre: 0.86, Re: 0.88, TP: 1778, TN: 1725, FP: 290, FN: 237
[VALID] Epoch 13: Loss: 0.8089, Acc: 91.13, F1: 91.79, Dice: 84.83, Pre: 0.85, Re: 0.99, TP: 615, TN: 515, FP: 105, FN: 5
[TRAIN] Epoch 14: Loss: 0.3681, Acc: 86.97, F1: 87.36, Dice: 77.56, Pre: 0.85, Re: 0.90, TP: 1815, TN: 1690, FP: 325, FN: 200
[VALID] Epoch 14: Loss: 0.8138, Acc: 89.68, F1: 90.12, Dice: 82.02, Pre: 0.86, Re: 0.94, TP: 584, TN: 528, FP: 92, FN: 36
[TRAIN] Epoch 15: Loss: 0.3382, Acc: 88.31, F1: 88.65, Dice: 79.62, Pre: 0.86, Re: 0.91, TP: 1840, TN: 1719, FP: 296, FN: 175
[VALID] Epoch 15: Loss: 0.8085, Acc: 91.37, F1: 91.96, Dice: 85.12, Pre: 0.86, Re: 0.99, TP: 612, TN: 521, FP: 99, FN: 8
[TRAIN] Epoch 16: Loss: 0.3251, Acc: 88.26, F1: 88.60, Dice: 79.53, Pre: 0.86, Re: 0.91, TP: 1838, TN: 1719, FP: 296, FN: 177
[VALID] Epoch 16: Loss: 0.8108, Acc: 90.65, F1: 91.10, Dice: 83.66, Pre: 0.87, Re: 0.96, TP: 594, TN: 530, FP: 90, FN: 26
[TRAIN] Epoch 17: Loss: 0.3096, Acc: 89.23, F1: 89.52, Dice: 81.03, Pre: 0.87, Re: 0.92, TP: 1854, TN: 1742, FP: 273, FN: 161
[VALID] Epoch 17: Loss: 0.8091, Acc: 91.13, F1: 91.72, Dice: 84.70, Pre: 0.86, Re: 0.98, TP: 609, TN: 521, FP: 99, FN: 11
[TRAIN] Epoch 18: Loss: 0.2986, Acc: 89.11, F1: 89.40, Dice: 80.83, Pre: 0.87, Re: 0.92, TP: 1851, TN: 1740, FP: 275, FN: 164
[VALID] Epoch 18: Loss: 0.8101, Acc: 91.29, F1: 91.43, Dice: 84.21, Pre: 0.90, Re: 0.93, TP: 576, TN: 556, FP: 64, FN: 44
