
[TRAIN] Epoch 0: Loss: 0.7079, Acc: 64.39, F1: 66.54, Dice: 49.86, Pre: 0.63, Re: 0.71, TP: 1427, TN: 1168, FP: 847, FN: 588
[VALID] Epoch 0: Loss: 0.8322, Acc: 83.55, F1: 83.28, Dice: 71.35, Pre: 0.85, Re: 0.82, TP: 508, TN: 528, FP: 92, FN: 112
[TRAIN] Epoch 1: Loss: 0.4980, Acc: 80.02, F1: 80.76, Dice: 67.74, Pre: 0.78, Re: 0.84, TP: 1690, TN: 1535, FP: 480, FN: 325
[VALID] Epoch 1: Loss: 0.8244, Acc: 85.89, F1: 86.27, Dice: 75.86, Pre: 0.84, Re: 0.89, TP: 550, TN: 515, FP: 105, FN: 70
[TRAIN] Epoch 2: Loss: 0.4050, Acc: 83.30, F1: 84.21, Dice: 72.72, Pre: 0.80, Re: 0.89, TP: 1794, TN: 1563, FP: 452, FN: 221
[VALID] Epoch 2: Loss: 0.8091, Acc: 90.97, F1: 91.69, Dice: 84.66, Pre: 0.85, Re: 1.00, TP: 618, TN: 510, FP: 110, FN: 2
[TRAIN] Epoch 3: Loss: 0.3602, Acc: 85.38, F1: 86.43, Dice: 76.10, Pre: 0.81, Re: 0.93, TP: 1875, TN: 1566, FP: 449, FN: 140
[VALID] Epoch 3: Loss: 0.8086, Acc: 91.21, F1: 91.87, Dice: 84.97, Pre: 0.85, Re: 0.99, TP: 616, TN: 515, FP: 105, FN: 4
[TRAIN] Epoch 4: Loss: 0.3329, Acc: 86.77, F1: 87.73, Dice: 78.15, Pre: 0.82, Re: 0.95, TP: 1906, TN: 1591, FP: 424, FN: 109
[VALID] Epoch 4: Loss: 0.8085, Acc: 91.29, F1: 91.93, Dice: 85.06, Pre: 0.86, Re: 0.99, TP: 615, TN: 517, FP: 103, FN: 5
[TRAIN] Epoch 5: Loss: 0.3055, Acc: 88.11, F1: 89.03, Dice: 80.22, Pre: 0.83, Re: 0.96, TP: 1943, TN: 1608, FP: 407, FN: 72
[VALID] Epoch 5: Loss: 0.8081, Acc: 91.37, F1: 92.04, Dice: 85.26, Pre: 0.85, Re: 1.00, TP: 619, TN: 514, FP: 106, FN: 1
[TRAIN] Epoch 6: Loss: 0.2884, Acc: 88.16, F1: 89.02, Dice: 80.22, Pre: 0.83, Re: 0.96, TP: 1934, TN: 1619, FP: 396, FN: 81
[VALID] Epoch 6: Loss: 0.8074, Acc: 91.69, F1: 92.31, Dice: 85.71, Pre: 0.86, Re: 1.00, TP: 618, TN: 519, FP: 101, FN: 2
