
[TRAIN] Epoch 0: Loss: 0.7271, Acc: 64.89, F1: 66.14, Dice: 49.41, Pre: 0.64, Re: 0.69, TP: 1382, TN: 1233, FP: 782, FN: 633
[VALID] Epoch 0: Loss: 0.0654, Acc: 82.26, F1: 82.26, Dice: 69.86, Pre: 0.82, Re: 0.82, TP: 510, TN: 510, FP: 110, FN: 110
[TRAIN] Epoch 1: Loss: 0.4214, Acc: 82.98, F1: 83.55, Dice: 71.75, Pre: 0.81, Re: 0.86, TP: 1742, TN: 1602, FP: 413, FN: 273
[VALID] Epoch 1: Loss: 0.0654, Acc: 87.10, F1: 88.06, Dice: 78.67, Pre: 0.82, Re: 0.95, TP: 590, TN: 490, FP: 130, FN: 30
[TRAIN] Epoch 2: Loss: 0.3430, Acc: 86.28, F1: 87.01, Dice: 77.01, Pre: 0.83, Re: 0.92, TP: 1852, TN: 1625, FP: 390, FN: 163
[VALID] Epoch 2: Loss: 0.0654, Acc: 89.03, F1: 89.97, Dice: 81.77, Pre: 0.83, Re: 0.98, TP: 610, TN: 494, FP: 126, FN: 10
[TRAIN] Epoch 3: Loss: 0.2935, Acc: 88.11, F1: 88.82, Dice: 79.89, Pre: 0.84, Re: 0.94, TP: 1903, TN: 1648, FP: 367, FN: 112
[VALID] Epoch 3: Loss: 0.0654, Acc: 90.16, F1: 90.99, Dice: 83.47, Pre: 0.84, Re: 0.99, TP: 616, TN: 502, FP: 118, FN: 4
[TRAIN] Epoch 4: Loss: 0.2829, Acc: 88.64, F1: 89.27, Dice: 80.62, Pre: 0.85, Re: 0.95, TP: 1905, TN: 1667, FP: 348, FN: 110
[VALID] Epoch 4: Loss: 0.0654, Acc: 90.16, F1: 90.95, Dice: 83.40, Pre: 0.84, Re: 0.99, TP: 613, TN: 505, FP: 115, FN: 7
[TRAIN] Epoch 5: Loss: 0.2640, Acc: 89.13, F1: 89.75, Dice: 81.41, Pre: 0.85, Re: 0.95, TP: 1918, TN: 1674, FP: 341, FN: 97
[VALID] Epoch 5: Loss: 0.0649, Acc: 90.40, F1: 91.02, Dice: 83.52, Pre: 0.86, Re: 0.97, TP: 603, TN: 518, FP: 102, FN: 17
[TRAIN] Epoch 6: Loss: 0.2537, Acc: 89.58, F1: 90.16, Dice: 82.09, Pre: 0.85, Re: 0.96, TP: 1925, TN: 1685, FP: 330, FN: 90
[VALID] Epoch 6: Loss: 0.0649, Acc: 91.21, F1: 91.77, Dice: 84.80, Pre: 0.86, Re: 0.98, TP: 608, TN: 523, FP: 97, FN: 12
[TRAIN] Epoch 7: Loss: 0.2461, Acc: 90.15, F1: 90.76, Dice: 83.08, Pre: 0.85, Re: 0.97, TP: 1949, TN: 1684, FP: 331, FN: 66
[VALID] Epoch 7: Loss: 0.0649, Acc: 92.26, F1: 92.67, Dice: 86.34, Pre: 0.88, Re: 0.98, TP: 607, TN: 537, FP: 83, FN: 13
